MLT	Kp	Intercept	L	        log10(E)	L^2	        log10(E)^2	L^3	        log10(E)^3	log10(E)*L	log10(E)*L^2	log10(E)^2*L	Adjusted R2
0	1	-9.717181e+00	7.204274e+00	-3.773921e+00	-1.496923e+00	-8.897443e-01	1.122206e-01	1.720684e-01	7.319817e-01	7.886410e-02	3.525678e-01	0.82448
0	2	-2.945411e+00	3.066352e+00	-3.141152e+00	-6.402161e-01	-1.039579e+00	5.404518e-02	1.168904e-01	9.266642e-01	5.994503e-02	3.966304e-01	0.93159
0	3	9.890714e-01	6.886358e-01	-1.466153e+00	-1.451928e-01	-4.153113e-01	2.069758e-02	1.924237e-01	9.012235e-01	5.583555e-02	3.945901e-01	0.95829
0	4	3.852039e+00	-1.176268e+00	-4.278696e-01	2.504448e-01	9.717711e-02	-5.547521e-03	2.740005e-01	9.408564e-01	5.187616e-02	4.049745e-01	0.96932
0	5	6.006599e+00	-2.177471e+00	1.988820e+00	4.797396e-01	1.590386e+00	-2.211532e-02	5.205646e-01	1.016683e+00	3.518574e-02	3.863031e-01	0.97468
0	6	9.362199e+00	-4.631816e+00	2.171715e+00	9.973425e-01	1.628007e+00	-5.584455e-02	5.182470e-01	9.777994e-01	3.918595e-02	3.857173e-01	0.97183
0	7	1.407725e+01	-7.921180e+00	2.665594e+00	1.685897e+00	1.719137e+00	-1.007732e-01	5.024012e-01	8.108719e-01	4.952734e-02	3.557380e-01	0.96121
1	1	-7.359401e+00	5.884180e+00	-2.919064e+00	-1.280964e+00	-7.194898e-01	1.004658e-01	1.848896e-01	4.476771e-01	9.795562e-02	3.246588e-01	0.8113
1	2	-9.211592e-01	1.879919e+00	-2.331452e+00	-4.555934e-01	-9.799721e-01	4.440510e-02	9.607246e-02	5.884254e-01	8.034954e-02	3.569996e-01	0.93061
1	3	2.214357e+00	-1.302451e-01	-1.253408e+00	-2.825422e-02	-6.760874e-01	1.478623e-02	1.114119e-01	6.211463e-01	6.977352e-02	3.569444e-01	0.95885
1	4	4.602497e+00	-1.757413e+00	-5.268525e-01	3.225730e-01	-3.095982e-01	-8.982241e-03	1.642781e-01	7.068561e-01	5.973179e-02	3.663537e-01	0.96771
1	5	5.647597e+00	-2.090594e+00	2.072220e+00	4.521858e-01	1.630797e+00	-2.093337e-02	5.073641e-01	9.731945e-01	2.705271e-02	3.561372e-01	0.9769
1	6	9.041642e+00	-4.539197e+00	2.387552e+00	9.639003e-01	1.697711e+00	-5.406964e-02	5.076273e-01	8.951338e-01	3.382134e-02	3.521105e-01	0.97444
1	7	1.358006e+01	-7.724426e+00	2.883817e+00	1.632235e+00	1.787948e+00	-9.760212e-02	4.934266e-01	7.232415e-01	4.596935e-02	3.247448e-01	0.96432
2	1	-3.874943e+00	4.102231e+00	-1.373509e+00	-1.041292e+00	-4.183570e-01	9.227025e-02	2.361563e-01	-1.138304e-01	1.485082e-01	3.037375e-01	0.7916
2	2	1.135135e+00	8.053878e-01	-1.219720e+00	-3.253353e-01	-8.572429e-01	4.055670e-02	9.456559e-02	1.233136e-01	1.146499e-01	3.188955e-01	0.92407
2	3	3.470548e+00	-8.068562e-01	-5.982210e-01	3.832536e-02	-7.467759e-01	1.380794e-02	7.074457e-02	2.502543e-01	9.399586e-02	3.198763e-01	0.95775
2	4	5.298927e+00	-2.116907e+00	-7.789224e-02	3.310106e-01	-4.724148e-01	-6.974028e-03	9.885310e-02	3.806822e-01	7.604378e-02	3.223885e-01	0.96672
2	5	5.390708e+00	-2.080829e+00	1.977300e+00	4.387184e-01	1.568525e+00	-2.012174e-02	4.844172e-01	9.273081e-01	2.346362e-02	3.360744e-01	0.97834
2	6	8.740577e+00	-4.493841e+00	2.354275e+00	9.429094e-01	1.665505e+00	-5.276517e-02	4.895662e-01	8.388821e-01	3.088775e-02	3.306408e-01	0.97598
2	7	1.312859e+01	-7.579869e+00	2.884980e+00	1.591603e+00	1.778583e+00	-9.498086e-02	4.806610e-01	6.638055e-01	4.400758e-02	3.043388e-01	0.96631
3	1	-3.007360e+00	3.878241e+00	-2.503594e-01	-1.104900e+00	-2.463186e-01	1.027349e-01	2.620712e-01	-5.812605e-01	1.875912e-01	2.802112e-01	0.76887
3	2	1.428129e+00	7.946179e-01	-4.736181e-01	-4.029787e-01	-8.095079e-01	5.002179e-02	9.131136e-02	-2.468938e-01	1.429859e-01	2.920961e-01	0.91249
3	3	3.492771e+00	-7.037845e-01	-6.385505e-02	-4.812099e-02	-7.847110e-01	2.270458e-02	4.455866e-02	-6.340309e-02	1.147853e-01	2.888142e-01	0.95362
3	4	5.076508e+00	-1.881944e+00	3.548632e-01	2.252584e-01	-5.466503e-01	2.435504e-03	5.898316e-02	1.014577e-01	9.081530e-02	2.853255e-01	0.96397
3	5	5.003611e+00	-1.994916e+00	1.763108e+00	4.165897e-01	1.480360e+00	-1.889926e-02	4.619276e-01	9.120572e-01	1.959584e-02	3.219342e-01	0.97861
3	6	8.287509e+00	-4.367077e+00	2.157762e+00	9.136333e-01	1.595472e+00	-5.121285e-02	4.693425e-01	8.258174e-01	2.614249e-02	3.146205e-01	0.97598
3	7	1.256192e+01	-7.383831e+00	2.689740e+00	1.549352e+00	1.722078e+00	-9.259352e-02	4.643921e-01	6.559621e-01	3.934115e-02	2.896038e-01	0.96627
4	1	1.050305e+00	7.848777e-01	9.479916e-01	-3.083059e-01	1.306091e+00	3.153739e-02	4.688779e-01	-2.334505e-01	6.162030e-02	7.291783e-02	0.68054
4	2	4.040210e+00	-1.134349e+00	-1.503822e-01	7.706201e-02	-9.964354e-02	6.942414e-03	1.651045e-01	-2.702495e-02	5.874122e-02	1.475941e-01	0.89639
4	3	4.404270e+00	-1.469072e+00	1.979190e-03	1.664247e-01	-4.765612e-01	-5.731605e-05	3.152533e-02	7.061707e-02	5.191952e-02	1.669078e-01	0.95584
4	4	4.323673e+00	-1.548876e+00	2.847488e-01	2.024510e-01	-4.088867e-01	-3.419682e-03	-1.370144e-03	2.202261e-01	3.701387e-02	1.739477e-01	0.96832
4	5	2.515772e+00	-4.929388e-01	1.519877e+00	1.045296e-01	1.563366e+00	1.304891e-03	4.611017e-01	9.923663e-01	8.081022e-03	3.041743e-01	0.97983
4	6	3.614171e+00	-1.434655e+00	2.191388e+00	3.093934e-01	2.156221e+00	-1.268924e-02	5.007234e-01	1.031511e+00	-8.471922e-03	2.473691e-01	0.97928
4	7	1.181002e+00	8.305165e-02	4.211134e+00	5.334156e-04	3.472403e+00	6.208793e-03	4.135005e-01	8.435557e-01	-4.340292e-02	-2.193345e-02	0.90882
5	1	-3.635509e-01	1.537124e+00	6.839448e-01	-4.374485e-01	1.477097e+00	3.619611e-02	5.420787e-01	-3.200998e-02	4.117443e-02	1.085585e-01	0.66573
5	2	2.730877e+00	-4.037838e-01	-3.262462e-01	-5.815076e-02	8.927091e-02	1.267726e-02	2.225624e-01	1.105053e-01	3.799409e-02	1.519576e-01	0.85975
5	3	3.130800e+00	-7.408152e-01	-8.019317e-03	2.688265e-02	-2.800136e-01	6.361500e-03	6.581481e-02	1.283701e-01	3.327723e-02	1.422884e-01	0.94739
5	4	2.955802e+00	-7.650633e-01	2.303200e-01	5.182572e-02	-2.653012e-01	3.848474e-03	1.075704e-02	2.684518e-01	1.739558e-02	1.381535e-01	0.96545
5	5	2.124358e+00	-4.028353e-01	1.101238e+00	9.212299e-02	1.452351e+00	2.396013e-03	4.613711e-01	1.037621e+00	1.078170e-02	3.217369e-01	0.97517
5	6	5.591571e+00	-2.882277e+00	1.412788e+00	6.001848e-01	1.516588e+00	-3.005855e-02	4.286400e-01	9.915549e-01	1.723768e-02	3.235609e-01	0.95989
5	7	4.501496e-01	3.031204e-01	3.365214e+00	-1.985564e-02	3.409760e+00	6.876650e-03	4.318068e-01	1.082152e+00	-5.730041e-02	1.509701e-03	0.90629
6	1	-1.082603e+00	1.875584e+00	9.310370e-01	-4.950986e-01	1.787906e+00	3.858447e-02	6.521055e-01	1.961963e-02	4.202852e-02	1.523830e-01	0.71376
6	2	2.226915e+00	-1.704689e-01	-3.963971e-01	-1.029844e-01	3.216038e-01	1.479182e-02	3.368555e-01	1.955210e-01	3.696059e-02	1.988433e-01	0.8417
6	3	2.709992e+00	-5.353846e-01	-5.663882e-02	-1.585543e-02	-1.096716e-01	8.494261e-03	1.598446e-01	1.609246e-01	3.461982e-02	1.766625e-01	0.9334
6	4	2.586263e+00	-5.847657e-01	1.943038e-01	1.230286e-02	-1.479929e-01	5.925418e-03	8.955435e-02	2.580448e-01	2.255908e-02	1.664718e-01	0.95531
6	5	1.504292e+00	-1.921066e-01	4.736238e-01	4.748769e-02	1.344912e+00	6.977116e-03	5.404359e-01	1.107407e+00	2.810924e-02	4.008609e-01	0.96374
6	6	4.466400e+00	-2.382881e+00	6.159318e-01	5.076358e-01	1.471883e+00	-2.276222e-02	5.221047e-01	1.166062e+00	2.602738e-02	4.047381e-01	0.94311
6	7	2.351494e-01	1.666321e-01	2.214849e+00	2.901656e-02	3.314877e+00	4.447027e-03	5.253594e-01	1.391421e+00	-5.814033e-02	9.645109e-02	0.91061
7	1	-1.609647e+00	2.138282e+00	9.978059e-01	-5.454796e-01	2.010335e+00	4.129492e-02	7.025682e-01	7.441586e-02	3.843694e-02	1.605779e-01	0.74681
